squirrelFish.1,squirrelFish.2,squirrelFish.3,squirrelFish.4,squirrelFish.5,waterClarity,coralDensity,waterDepth,current.1,current.2,current.3,current.4,current.5
0,0,0,0,0,-0.702972678,0.66962381,Shallow,-1.881203416,-0.316284066,-1.343957824,-0.618800447,-0.126436139
0,0,0,0,0,0.569311646,-0.794900054,Shallow,0.835876105,-0.472553146,0.495234535,-1.941211093,-1.479195942
0,0,1,0,1,0.271084145,1.482999852,Shallow,-0.975613118,-1.714240366,0.010528654,-0.139573536,0.656112323
1,0,0,0,0,1.252140971,2.294908483,Shallow,-1.562416087,-1.490747628,-0.097436118,0.221237058,0.035828686
0,0,0,0,0,-0.681666952,0.554823593,Shallow,-1.770425764,0.134004408,-1.8299252,0.177886141,0.689965411
0,0,0,0,0,-0.623943581,0.541482938,Shallow,0.154011054,-0.854247304,-0.186974254,-1.618379288,0.174077238
0,0,0,0,0,1.727301992,-0.788218733,Shallow,1.756411831,-0.089165534,-0.326219826,0.706133585,-0.547216825
0,0,0,0,0,1.337649674,-1.227794468,Shallow,0.993177916,0.209030895,-1.004294138,0.041712803,0.672328344
0,0,0,0,0,-0.73090934,1.554534066,Shallow,-0.269073597,-1.069098562,-0.132422344,0.101028604,-0.500063511
0,0,0,0,0,0.535723798,-0.569092546,Shallow,0.802612896,0.641808749,1.174773875,2.583128788,2.088055367
0,0,0,0,0,-0.086136628,-0.070436688,Shallow,-0.304291345,0.821045569,-1.386084825,-0.063181345,-1.2259169
0,0,0,0,0,-1.317185753,0.412633542,Shallow,-3.178562555,0.83626405,-0.317651911,-0.794496464,1.588394743
0,0,0,0,0,0.816754999,-0.584710659,Shallow,0.647043254,-0.441479528,0.179824607,-0.974969701,-2.658701443
0,0,0,0,0,-0.356262321,0.789515045,Shallow,0.634993945,0.210207745,-1.458671131,-0.52502463,-0.877003271
0,0,0,0,0,-1.545038029,-0.098614409,Shallow,-1.024625429,0.750804096,1.383734853,-1.72068644,-0.274334943
1,0,1,0,1,-0.0322976,1.198075902,Shallow,-2.051900529,0.488631629,0.257016701,0.217340329,-0.366111372
0,0,0,0,0,-1.787632805,-1.95311764,Shallow,-0.643733359,-1.464083348,0.073362536,-0.852086337,1.387082698
0,0,1,0,0,1.289173495,0.355819641,Shallow,-0.394821512,0.569392395,-0.508724602,0.655551342,0.078162951
0,0,0,0,0,0.327552948,-3.5198984,Shallow,1.442372131,1.352482076,-0.755987027,-0.003259035,0.178974761
0,0,0,0,0,0.671988418,-1.150977064,Deep,-0.039825719,0.3086066,1.588899272,-1.152281038,-0.572544183
0,0,0,0,0,-0.929813929,0.208695876,Deep,-0.149353925,0.131564469,0.296425941,-0.114125529,1.150948134
0,0,0,0,0,0.424457677,0.761754462,Deep,2.460043463,-1.985402536,-2.269529748,-1.301167125,-0.322930431
0,0,0,0,0,0.37629383,0.086486172,Deep,0.361089321,-0.957227159,0.192684459,-0.703998224,0.451906608
0,0,0,0,0,-0.553750802,-0.659241802,Deep,0.486025198,-0.394801665,0.381836406,-2.107551482,-0.141203898
0,0,0,0,0,0.119516768,1.193262424,Deep,-0.974019279,-1.118760502,-0.883248548,0.672544668,-2.242859368
0,0,0,0,0,-0.069222145,-0.481164025,Deep,0.68250811,0.085768851,0.048188275,0.284752669,0.917571767
0,0,0,1,1,1.873097625,2.021795954,Deep,-0.153848185,-0.676255997,0.741796375,0.067910849,-0.822260856
0,0,0,0,0,1.002687034,-0.258619549,Deep,-0.319307633,0.077650522,-0.785708345,0.851786517,-2.274130007
0,0,0,0,0,-0.903073287,1.043095455,Deep,-1.142655823,-0.286024216,-0.362236654,1.189148458,0.03138097
0,0,1,0,0,0.203922733,1.108945815,Deep,-0.496228576,0.264249358,-0.926498405,0.719722605,-0.216055667
0,0,0,0,0,-0.669076068,-1.184135146,Deep,-1.069678464,0.958866592,-0.893140044,0.363044904,0.711006166
0,0,0,0,0,-0.605508794,-0.108831149,Deep,-0.04690182,1.516914639,-0.133572007,0.816211145,0.760879115
0,0,0,0,1,-0.351532237,1.427530972,Deep,-2.025282953,0.347179963,-0.530049269,0.841795971,0.092754252
0,0,0,0,0,0.304305098,0.272290913,Deep,-0.236156839,0.531418813,-0.518706032,-0.864062806,-1.393708336
0,0,0,0,0,-1.614643504,1.124923578,Deep,1.639053239,1.01604919,-1.160844104,-0.05563166,-1.729530234
0,0,0,0,0,0.570474049,0.000786176,Deep,-0.533450736,-1.74980285,-1.260448501,-1.108751777,0.587766012
0,0,0,0,0,-0.611930116,-1.225774755,Deep,0.296109601,-0.702442015,-1.19336502,-1.340114912,2.487958561
0,0,0,0,0,-1.303448661,1.43773259,Deep,-0.091980055,-0.662732497,-0.525918067,-0.162369526,0.521947888
0,0,0,0,0,-0.309963175,-1.030972972,Deep,-1.198895325,1.307639527,-0.755572767,-1.23538902,0.278758864
1,1,1,0,0,0.271774613,-0.305400713,Deep,1.279060918,0.181225551,1.121656476,-0.940497881,-1.490540482
0,0,0,0,0,3.068376999,-1.209444519,Deep,-0.84048479,-0.227272905,-1.646947341,0.652775416,-1.109723137
0,0,0,0,0,1.176643186,-0.021370945,Deep,0.465331117,-0.524437402,1.29495448,-0.271748983,-0.306143588
0,0,0,0,0,-1.223440358,-0.293790761,Deep,1.432641189,-2.047192152,1.229314384,3.311252314,-0.086080335
0,0,0,0,0,-1.180484193,1.286115501,Deep,-0.874833902,-0.689271479,0.833390328,0.096958115,-0.270878352
0,0,0,0,0,-2.585518646,0.067179327,Deep,-0.025832409,0.355412693,-1.33343272,1.30494115,0.004833069
0,1,0,1,0,0.138019578,0.887643962,Deep,-0.542711609,0.92538072,-0.410096263,1.060972627,-1.287255189
1,0,1,0,0,1.404586555,0.511891357,Deep,-0.440524261,1.187775968,0.417962804,1.575284044,1.349454717
0,1,1,1,0,1.585011548,-0.904702213,Deep,-0.335056616,0.873559489,0.268972473,1.149026691,0.546731913
1,0,0,0,1,0.196845439,0.977516086,Deep,0.572965889,-0.115623112,-0.820485073,0.117454105,1.758648093
0,0,0,0,0,1.15047958,-0.250346868,Deep,1.738568101,0.093922616,-0.362152879,-0.816438579,-0.421558411
0,0,0,0,0,1.39899172,-1.876600365,Deep,0.750833174,0.652935001,1.831482467,-0.379566282,0.115535151
0,0,0,0,0,0.277597639,-0.7221073,Deep,1.586012791,-0.976333562,-0.832752424,-0.044494895,-0.724031816
0,0,0,0,0,-0.215190926,-0.414984556,Deep,1.745581823,-0.588525984,-0.727748862,-1.36084677,-0.699797843
0,0,0,0,0,-2.346411657,1.378775851,Deep,0.291469589,1.397173564,-0.772910925,0.398439937,0.733605273
0,0,0,0,0,-1.268959844,0.36253357,Deep,-0.648359545,-0.668704223,0.511789482,-1.811167868,0.950839308
0,0,0,0,0,-1.250084906,0.039750127,Deep,-0.414492811,-0.635273557,1.325669504,0.738196777,0.292308417
0,0,0,0,0,-0.155317217,-3.284277657,Deep,0.904824314,0.920597314,1.498658845,0.483976838,-0.86912387
0,0,0,0,0,-2.252189843,0.019140642,Deep,0.8194741,0.419202702,1.463349667,-1.098807479,-0.398810136
0,1,0,0,1,-0.114644777,0.466396978,Deep,-0.133640762,-0.242668317,-2.924694415,-0.370066777,0.105479588
0,0,1,0,0,2.265511569,-0.037716879,Deep,0.055465662,-1.160604459,0.650339932,0.527890998,0.174085226
0,0,0,0,0,-0.545952387,1.03127215,Deep,-1.616219598,0.57294974,-0.56714863,-0.117656478,-1.091672011
0,0,0,0,0,-0.928503428,-1.355576775,Deep,-1.902981609,-1.252973552,1.68688331,1.535938204,0.564057158
0,0,0,0,0,0.094811821,-0.076686061,Deep,-1.353459288,-0.204003594,-0.308786244,2.439748644,-1.821508565
0,0,0,0,0,-0.841730129,-1.027135809,Deep,0.914786194,-1.047635471,-1.717721605,1.043191327,0.881155202
0,1,0,0,1,1.937552997,0.926918945,Deep,0.461602349,0.81236525,0.195830866,-0.609238013,0.03603092
0,0,0,0,0,2.250179439,-1.222627336,Deep,1.319284969,0.508233873,-0.080765521,-0.023598318,0.087739357
0,0,0,0,0,1.070134653,-1.994549266,Deep,0.832666111,-0.583262597,1.813637792,-0.276444739,1.008819509
0,0,1,0,0,0.578660106,1.437192724,Deep,-1.002716496,-0.351852159,-0.151438795,0.532851381,0.41497131
0,1,1,0,1,1.030396062,1.036670776,Deep,-0.533620768,1.182222154,-0.199661222,-0.241354774,0.685212464
